id,name,size,size_code,price,price_range,usd,prints,hours,series,form,pdf,intent,direction,thumb
aditya,Aditya · Sunflower of Joy,24 × 17 cm,24×17,8500,"₹7,000–10,000",USD 84–120,"₹800–1,600",28–40 hrs,Joy & Positivity Series,Mandala Art,Aditya-SunflowerOfJoy_2page.pdf,"Joy, positivity & new beginnings",East,thumbs/aditya.jpg
anahata,Anahata · Flower of Life,24 × 17 cm,24×17,8500,"₹7,000–10,000",USD 84–120,"₹800–1,600",28–40 hrs,Love & Connection Series,Mandala Art,Anahata-FlowerOfLife_2page.pdf,"Love, connection & harmony",South-West,thumbs/anahata.jpg
chakra,Chakra · Wheel of Change,24 × 17 cm,24×17,8500,"₹7,000–10,000",USD 84–120,"₹800–1,600",28–40 hrs,Transformation & Flow Series,Mandala Art,Chakra-WheelOfChange_2page.pdf,"Transformation, flow & positive change",North-West,thumbs/chakra.jpg
kavach,Kavach · Shield of Focus,24 × 17 cm,24×17,8500,"₹7,000–10,000",USD 84–120,"₹800–1,600",28–40 hrs,Focus & Protection Series,Mandala Art,Kavach-ShieldOfFocus_2page.pdf,"Focus, protection & grounding",North,thumbs/kavach.jpg
lakshmi,Lakshmi Bloom,17 × 24 cm,17×24,7000,"₹6,000–8,500",USD 72–102,"₹700–1,500",22–30 hrs,Money Manifestation Series,Mandala Art,Lakshmi-Bloom_2page.pdf,Abundance & prosperity,North,thumbs/lakshmi.jpg
sarasvati,Sarasvati · Lotus of Wisdom,24 × 17 cm,24×17,8500,"₹7,000–10,000",USD 84–120,"₹800–1,600",28–40 hrs,Wisdom & Creativity Series,Mandala Art,Sarasvati-LotusOfWisdom_2page.pdf,"Creativity, wisdom & learning",North-East,thumbs/sarasvati.jpg
shanti,Shanti · Bloom of Peace,24 × 17 cm,24×17,8500,"₹7,000–10,000",USD 84–120,"₹800–1,600",28–40 hrs,Peace & Harmony Series,Mandala Art,Shanti-BloomOfPeace_2page.pdf,"Peace, harmony & healing",North-East,thumbs/shanti.jpg
tejas,Tejas · Radiant Star,24 × 17 cm,24×17,8500,"₹7,000–10,000",USD 84–120,"₹800–1,600",28–40 hrs,Spiritual Energy Series,Mandala Art,Tejas-RadiantStar_2page.pdf,Spiritual energy & vitality,East,thumbs/tejas.jpg
manipura,Manipura · Spiral of Energy,A3 · 29.7 × 42 cm,A3,15000,"₹12,000–18,000",USD 145–215,"₹1,500–3,000",30–45 hrs,Energy & Momentum Series,Geometric & Op Art,Manipura-SpiralOfEnergy_2page.pdf,"Energy, momentum & personal power",South-East,thumbs/manipura.jpg
sahasrara,Sahasrara · Lotus of Bliss,A3 · 29.7 × 42 cm,A3,15000,"₹12,000–18,000",USD 145–215,"₹1,500–3,000",30–45 hrs,Peace & Wisdom Series,Mandala Art,Sahasrara-LotusOfBliss_2page.pdf,"Joy, wisdom & inner peace",North-East,thumbs/sahasrara.jpg
padma,Padma · Bloom of Abundance,A3 · 29.7 × 42 cm,A3,15000,"₹12,000–18,000",USD 145–215,"₹1,500–3,000",30–45 hrs,Prosperity & Growth Series,Mandala Art,Padma-BloomOfAbundance_2page.pdf,"Abundance, growth & good fortune",North,thumbs/padma.jpg
svadhisthana,Svadhisthana · Lotus of Flow,A3 · 29.7 × 42 cm,A3,15000,"₹12,000–18,000",USD 145–215,"₹1,500–3,000",30–45 hrs,Creativity & Flow Series,Mandala Art,Svadhisthana-LotusOfFlow_2page.pdf,"Creativity, flow & emotional balance",East,thumbs/svadhisthana.jpg
muladhara,Muladhara · Woven Shield,A3 · 29.7 × 42 cm,A3,15000,"₹12,000–18,000",USD 145–215,"₹1,500–3,000",30–45 hrs,Grounding & Protection Series,Mandala Art,Muladhara-WovenShield_2page.pdf,"Stability, protection & grounding",South-West,thumbs/muladhara.jpg
ajna,Ajna · Lotus of Clarity,A3 · 29.7 × 42 cm,A3,15000,"₹12,000–18,000",USD 145–215,"₹1,500–3,000",30–45 hrs,Clarity & Focus Series,Mandala Art,Ajna-LotusOfClarity_2page.pdf,"Clarity, focus & balanced judgement",North-East,thumbs/ajna.jpg
vishuddha,Vishuddha · Radiant Voice,A3 · 29.7 × 42 cm,A3,15000,"₹12,000–18,000",USD 145–215,"₹1,500–3,000",30–45 hrs,Expression & Confidence Series,Abstract Line Art,Vishuddha-RadiantVoice_2page.pdf,"Expression, confidence & clear communication",North-West,thumbs/vishuddha.jpg
mahadeva,Mahadeva · Crescent of Stillness,A3 · 29.7 × 42 cm,A3,15000,"₹12,000–18,000",USD 145–215,"₹1,500–3,000",30–45 hrs,Devotion & Strength Series,Figurative & Devotional Art,Mahadeva-CrescentOfStillness_2page.pdf,"Inner strength, protection & transformation",North-East,thumbs/mahadeva.jpg
pushpa,Pushpa · Garden of Joy,A3 · 29.7 × 42 cm,A3,15000,"₹12,000–18,000",USD 145–215,"₹1,500–3,000",30–45 hrs,Joy & Blossom Series,Botanical & Floral Art,Pushpa-GardenOfJoy_2page.pdf,"Joy, positivity & fresh beginnings",East,thumbs/pushpa.jpg
tarang,Tarang · Waves of Courage,A3 · 29.7 × 42 cm,A3,15000,"₹12,000–18,000",USD 145–215,"₹1,500–3,000",30–45 hrs,Courage & Movement Series,Abstract Line Art,Tarang-WavesOfCourage_2page.pdf,"Courage, momentum & bold change",South,thumbs/tarang.jpg
patra,Patra · The Monstera Leaf,A3 · 29.7 × 42 cm,A3,15000,"₹12,000–18,000",USD 145–215,"₹1,500–3,000",30–45 hrs,Nature & Growth Series,Botanical & Floral Art,Patra-TheMonsteraLeaf_2page.pdf,"Growth, calm & natural balance",East,thumbs/patra.jpg
kubera,Kubera · Rivers of Wealth,A3 · 29.7 × 42 cm,A3,15000,"₹12,000–18,000",USD 145–215,"₹1,500–3,000",30–45 hrs,Wealth & Manifestation Series,Money Manifestation Art,Kubera-RiversOfWealth_2page.pdf,"Wealth, abundance & financial flow",North,thumbs/kubera.jpg
dhyana,Dhyana · Seat of Balance,A3 · 29.7 × 42 cm,A3,15000,"₹12,000–18,000",USD 145–215,"₹1,500–3,000",30–45 hrs,Balance & Harmony Series,Figurative & Devotional Art,Dhyana-SeatOfBalance_2page.pdf,"Balance, meditation & inner harmony",North-East,thumbs/dhyana.jpg
jaala,Jaala · Web of Connection,A3 · 29.7 × 42 cm,A3,15000,"₹12,000–18,000",USD 145–215,"₹1,500–3,000",30–45 hrs,Connection & Unity Series,Abstract Line Art,Jaala-WebOfConnection_2page.pdf,"Connection, community & belonging",North-West,thumbs/jaala.jpg
vana,Vana · Canopy of Leaves,A3 · 29.7 × 42 cm,A3,15000,"₹12,000–18,000",USD 145–215,"₹1,500–3,000",30–45 hrs,Nature & Renewal Series,Botanical & Floral Art,Vana-CanopyOfLeaves_2page.pdf,"Renewal, freshness & quiet abundance",North,thumbs/vana.jpg
sevanti,Sevanti · Field of Daisies,A3 · 29.7 × 42 cm,A3,15000,"₹12,000–18,000",USD 145–215,"₹1,500–3,000",30–45 hrs,Joy & Blossom Series,Botanical & Floral Art,Sevanti-FieldOfDaisies_2page.pdf,"Cheer, gratitude & simple abundance",East,thumbs/sevanti.jpg
surya,Surya · Sun of Vitality,A5 · 14.8 × 21 cm,A5,4500,"₹3,500–6,000",USD 42–72,"₹500–1,000",12–18 hrs,Vitality & Light Series,Mandala Art,Surya-SunOfVitality_A5_2page.pdf,"Vitality, warmth & good health",East,thumbs/surya.jpg
ananda,Ananda · Smile of Contentment,B5 · 17.6 × 25 cm,B5,6500,"₹5,000–8,000",USD 60–95,"₹700–1,400",16–24 hrs,Joy & Wisdom Series,Mandala Art,Ananda-SmileOfContentment_B5_2page.pdf,"Happiness, contentment & a warm home",East,thumbs/ananda.jpg
pravaha,Pravaha · The Crossing,B5 · 17.6 × 25 cm,B5,6500,"₹5,000–8,000",USD 60–95,"₹700–1,400",16–24 hrs,Journey & Transformation Series,Abstract Line Art,Pravaha-TheCrossing_B5_2page.pdf,"Transition, resilience & finding your path",East,thumbs/pravaha.jpg
